SCHOOL	Programme	Specialization	splcode	Roll_number	Semester	Calculated Result
				Dummy		Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	19/MBT/046 (R)	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/001	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/002	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/003	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/004	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/005	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/006	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/007	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/008	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/009	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/010	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/011	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/012	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/013	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/014	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/015	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/016	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/017	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/018	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/019	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/020	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/021	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/022	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/023	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/024	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/025	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/026	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/027	I	Promoted
SoBT	M.Sc. (Biotechnology)	-	101I-	20/MBT/028	I	Promoted
