Roll_Number	Programme_Code	splcode	Roll_Number_S	Course_Code	Course code	Courses_Name	Credits	Course_Type	Semester	Specialization	Batch	Programme	SCHOOL
20/MBT/001	101	101I-	20MBT001	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/001	101	101I-	20MBT001	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/002	101	101I-	20MBT002	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc515	BtMSc515	Microbiology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	BtMSc517	BtMSc517	Plant and Animal Biotechnology Lab	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/003	101	101I-	20MBT003	GP	GP	General Proficiency	0		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc501	BtMSc501	Biochemistry	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc503	BtMSc503	Cell and Molecular Biology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc505	BtMSc505	Plant and Animal Biotechnology	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc507	BtMSc507	Microbiology	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc509	BtMSc509	Genetics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	MA415	MA415	Biostatistics	3		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc511	BtMSc511	Basics of Chemistry and Physics	2		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
20/MBT/004	101	101I-	20MBT004	BtMSc513	BtMSc513	Biochemistry and Analytical Techniques	4		I	-	2020-22	M.Sc. (Biotechnology)	SoBT
